title,url,emails
Request for Bids for Vehicles for Ministry of Health and Wellness,https://devbusiness.un.org/notices/idb-p2107497,theaglinton@bahamas.gov.bs DonaldDemeritte@bahamas.gov.bs
GENERAL PROCUREMENT NOTICE,https://devbusiness.un.org/notices/afdb-p2111823,suzeteabrodrigues@gmail.com
Adquisición de 15 Camiones Caja Abierta,https://devbusiness.un.org/notices/un-p2111824,PNUD22008@ambiente.gba.gob.ar
Small and Medium-sized Enterprises (SME) Development Specialist focusing on women owned/led Enterprises,https://devbusiness.un.org/notices/isdb-p2111822,1817591d.isdb.org@emea.teams.ms 16abe37b.isdb.org@emea.teams.ms
UPDATE - Prepare a Projects Completion Reports (PCRs),https://devbusiness.un.org/notices/isdb-p2108332,f87d698d.isdb.org@emea.teams.ms 422b5109.isdb.org@emea.teams.ms
UPDATE - Lot-4 – Left Bank Structures,https://devbusiness.un.org/notices/isdb-p2101318,grpsgs@gmail.com
ACTUALIZADO - ADQUISICIÓN Y DISTRIBUCIÓN DE EQUIPOS AUDIOLOGICOS PARA EL PROYECTO PILOTO DE TAMIZAJE Y DIAGNOSTICO AUDITIVO UNIVERSAL DE LA PRIMERA INFANCIA,https://devbusiness.un.org/notices/idb-p2103507,programa5376.adquisiciones@gmail.com programa5376.adquisiciones@gmail.com programa5376.adquisiciones@gmail.com
"Mejoramiento de infraestructura en 29 centros educativos públicos que atienden primera infancia, a nivel nacional",https://devbusiness.un.org/notices/wb-p2111819,mauricio.pineda@mined.gob.sv gracia.monteflores@mined.gob.sv
"Feasibility study (FS) for solid waste collection system improvements, including tariff and billing system in Dushanbe",https://devbusiness.un.org/notices/wb-p2111818,boboev.s@dsc.tj dsudp@dsc.tj
"Upgrading of 12 primary schools in Manica, transforming them into Basic Schools",https://devbusiness.un.org/notices/wb-p2111817,marcelaviacao@gmail.com aquisições.minedh@gmail.com aquisicoes.minedh@gmail.com. aquisicoes.minedh@gmail.com
"Design, print and supply assorted IEC materials",https://devbusiness.un.org/notices/wb-p2111816,adelmo.justos@mafs.gov.ss recruitmentsouthsudan.spcu@gmail.com recruitmentsouthsudan.spcu@gmail.com
"Preparation of Missing / Unavailable Revenue Maps (Massavis) in Punjab (Bahawalpur, DG Khan, Faisalabad, Rawalpindi, Gujranwala Divisions)",https://devbusiness.un.org/notices/wb-p2111815,pspmupulse@punjab-zameen.gov.pk pspmupulse@punjab-zameen.gov.pk pspmupulse@punjab-zameen.gov.pk
